trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
3.06,3.62,0.00543,0.86983,0.108219996,2.5368435,,1.57,1.095,4,4,30.97
1.09,4.16,0.00233,0.75601,0.03505,2.558509,,2.34,1.222,5,5,28.6
34.31,27.61,0.0017,0.78156996,0.16389999,1.769524,,1.36,1.033,7,5,19.95
5.84,5.57,0.0070599997,0.70821,0.25972,2.0997212,,4.53,2.2,2,1,33.76
4.55,8.52,0.16580999,0.69098,0.036310002,0.85031784,,,0.962,8,8,16.66
1.3,2.23,0.00426,1.02959,0.14949,14.258192,,,1.174,5,9,24.05
11.25,13.74,0.0078799995,0.89281,0.29872,3.060147,,2.28,1.445,7,1,22.5
8.69,8.29,0.0028,0.93671995,0.042940002,0.8756255,,0.93,0.41,5,1,17.59
7.49,9.41,0.00861,0.92033994,0.0923,1.5208249,,1.91,0.895,4,9,21.21
13.88,15.55,0.09889,0.84389,0.13177,1.3974167,,1.04,1.638,7,9,21.03
-4.55,8.24,0.00266,1.04988,-0.03262,0.90928906,,,0.921,9,9,20.08
3.0,1.26,0.00156,1.0269799,0.17419,8.360518,,3.53,0.558,8,3,12.61
-0.47,,0.00054000004,0.08727,-1.31884,23.225925,,7.25,0.47,,,29.76
14.65,17.74,0.00541,0.96353996,0.11589,3.432379,,0.98,0.855,9,8,29.19
-0.69,,0.00095,0.1116,,,,10.71,,,,48.53
0.88,,0.12707,0.27539,0.03869,0.007450014,,,-0.082,7,8,18.56
6.76,7.18,0.00331,0.77089995,0.109610006,1.7737588,,3.27,0.642,6,9,29.8
3.94,4.35,0.0022200001,0.84540004,0.41649,6.05544,,,0.759,3,4,59.69
5.35,6.32,0.00133,0.66681,0.09932999,2.5521224,,4.1,0.46,1,4,27.01
-1.85,3.55,0.01055,1.0009999,-0.03352,0.2739374,,1.62,1.868,1,1,15.34
3.87,3.76,0.00926,0.55147,0.5141,4.610181,,4.72,0.827,5,1,19.64
-0.04,0.19,0.77616996,0.06809,0.0035100002,0.31885675,,3.43,0.485,10,10,25.83
,,,,,,,,,,,18.25
0.6,0.37,0.014450001,0.53319,0.12375,0.03870371,,1.08,0.298,1,1,23.67
,,,,,,,,,,,23.67
,,,,,,,,,,,33.49
9.55,5.22,0.00423,1.00918,0.14653,0.98117536,,1.18,1.91,8,7,10.66
14.99,,0.3447,0.72194,0.30067,0.7792379,,3.21,1.093,,,22.1
,,,,,,,,,,,22.1
12.76,13.06,0.09889,0.84389,0.13177,1.3109038,,1.03,1.638,7,9,21.03
231.8,,0.09889,0.84389,0.13177,23.62845,,,1.638,7,9,21.03
3.97,7.59,0.0029699998,0.95685995,0.14092,4.660046,,,0.767,3,4,13.29
8.01,11.36,0.00206,0.85894996,0.13873,5.1666665,,2.37,1.07,3,5,17.94
7.49,8.94,0.00694,0.86536,0.09707,1.174077,,3.28,1.539,5,6,25.27
14.18,16.0,0.01349,0.99305,0.22235,3.8312883,,0.42,1.341,3,4,40.45
8.18,8.27,0.01017,0.91326,0.49155998,4.4340696,,2.41,1.375,1,4,27.27
5.21,5.02,0.0025499999,0.92498,0.27364,2.6729865,,1.49,1.313,4,1,17.6
-6.28,-0.69,0.107659996,0.32047,-0.100030005,0.20696314,,,0.671,10,10,27.47
4.78,7.32,0.0018600001,0.90172994,0.08957,4.2669845,,1.05,1.101,9,6,19.86
7.21,5.6,0.0016,0.68351996,0.17179,2.0986736,,3.66,0.351,4,5,23.81
2.3,3.09,0.00849,0.83705,0.23355,9.290759,,,1.047,3,5,18.57
1.8,4.01,0.02044,0.41676,0.085389994,4.3520765,,,0.503,6,7,15.66
3.11,5.57,0.0017299999,0.91700995,0.07326,1.6246598,,4.2,0.966,1,1,27.51
4.4,9.66,0.00453,0.9797,0.10357001,5.9895663,,0.86,1.517,9,3,23.16
60.19,68.67,0.01455,0.95499,0.17229,1.1594657,,2.29,0.551,5,8,17.96
0.2,,,0.20766,0.20764999,7.275332,,9.31,0.894,,,48.68
1.42,2.47,0.013839999,1.06448,0.02809,0.17976744,,1.7,1.213,5,3,30.55
0.5,0.47,0.44000998,0.24314,0.08585,0.8765553,,5.77,0.581,,,30.45
9.74,10.96,0.00338,0.82778,0.18358,4.94698,,2.28,1.144,5,8,25.29
,,,,,,,,,,,36.14
6.96,9.56,0.19782,0.76291,0.05677,1.552248,,0.84,1.114,9,10,14.82
0.74,1.93,0.39556,0.54918,0.00912,0.18762268,,3.88,2.604,1,1,20.3
1.03,,0.00254,0.58138,0.152,5.2733383,,1.4,0.644,1,3,11.81
1.7,6.39,0.33909,0.18694,0.01903,0.31632861,,3.69,0.448,10,10,38.24
3.58,,0.06771,0.78344,10.47313,71.744415,,14.79,1.188,,,27.74
2.31,3.21,0.28266,0.54882,0.10717,1.5910554,,4.84,0.666,4,7,33.7
1.06,1.27,0.12768,0.64419,0.15593,2.5473402,,6.15,0.882,8,9,18.96
1.02,0.76,0.02167,0.90747,0.36687002,7.1821957,,4.96,1.439,4,8,10.9
2.96,4.56,0.07616,0.76644,0.01442,0.26949793,,2.05,0.461,7,5,21.27
27.55,30.02,0.33251998,0.61184,0.083450004,0.707644,,,0.962,10,9,24.72
,,,,,,,,,,,24.72
,,,,,,,,,,,24.72
,,,,,,,,,,,24.72
,,,,,,,,,,,24.72
,,,,,,,,,,,24.72
0.61,,0.59553003,0.20715,0.15075,0.11089146,,,0.613,6,5,21.67
16.26,20.29,0.3447,0.72194,0.30067,0.8445207,,3.02,1.093,,,22.1
1.26,,6.0000002e-05,0.13396,10.85897,67.02856,,20.68,1.109229,,,21.5
0.3,,0.61506003,0.20953,0.055320002,0.081204236,,,0.776,5,3,30.65
,,,,,,,,,,,20.6
,,,,,,,,,,,20.6
0.15,,,0.19732,0.07864,8.309815,,7.41,0.884,,,27.51
-0.99,,,0.14021,-0.95539004,7.987631,,7.06,0.801,,,27.44
0.17,,,0.29466,0.02715,0.017441513,,,0.398,5,8,50.12
1.84,,0.15748,0.48949,0.22594999,1.6380026,,,1.17,3,3,21.63
,,,,,,,,,,,28.7
5.58,,0.54197,0.21132,0.05553,1.666214,,1.96,0.574,7,9,28.7
4.68,,0.005,0.34341,0.17434,5.7919197,,1.1,0.292,2,4,24.74
5.08,,0.005,0.34341,0.17434,6.2814617,,1.1,0.292,2,4,24.74
-0.67,1.4,0.54689,0.12729,-0.0069999998,0.4546966,,7.72,1.775,10,10,26.11
36.01,130.95,0.04654,0.41606,0.067210004,9.301675,,0.29,0.809,9,10,27.57
,,,,,,,,,,,21.91
30.94,,0.0030500002,0.78032994,0.25346002,86.50808,,,1.183,2,3,21.91
15.55,6.92,0.04829,1.0301499,0.40003,1.6479223,,,0.498,3,5,43.95
,,,,,,,,,,,43.95
2.88,3.83,0.2031,0.39619,0.06525,0.75582254,,5.3,1.237,3,4,16.43
2.88,,0.2031,0.39619,0.06525,0.7576991,,,1.237,3,4,16.43
,,,,,,,,,,,27.35
,,,,,,,,,,,27.35
0.08,,0.5758,0.16264,0.03066,0.04208362,,4.17,0.824,6,6,27.35
,,,,,,,,,,,27.35
,,,,,,,,,,,27.35
,,,,,,,,,,,26.72
0.29,,0.73120004,0.09292,0.06481,0.032301944,,4.48,0.868,8,9,51.63
3.41,,0.0076099997,0.88315004,0.12658,1.2867699,,2.22,0.98,10,10,23.09
,,,,,,,,,,,23.09
,,,,,,,,,,,23.09
-2.44,,0.09219,0.46499002,,,,12.03,,,,34.23
-0.29,,0.53638,0.10599,-0.11247,0.004206907,,3.86,2.272,9,3,21.89
6.45,,0.46,0.30464,0.02792,0.34331807,,2.95,1.549,5,7,18.91
1.52,,0.00248,0.54534,0.01455,0.15844621,,,0.733,2,2,32.19
,,,,,,,,,,,31.07
0.41,,,0.26209,0.18069,0.2842554,,,0.359,8,10,42.59
1.13,,0.1532,0.15162,11.84655,71.400856,,15.42,1.397165,3,3,29.29
-0.06,,0.00495,0.48348,-0.00343,0.90126264,,,2.55,10,10,24.49
1.27,145.62,0.59911,0.19895001,0.29286,0.056079272,,1.75,0.479,5,7,21.28
-4.18,,,0.24926001,,,,11.08,,,,29.66
8.61,,0.67477995,0.07311,0.09435,0.5528782,,,0.131,9,10,22.93
-0.19,-0.33,0.037609998,0.74963,-0.23975,2.0050838,,,1.304,5,3,22.16
2.33,2.39,0.38213003,0.15564,0.18625,1.6616453,,4.96,0.6,9,7,25.33
2.12,3.05,0.31497,0.55584,0.07871,0.9134492,,1.64,2.785,5,8,39.31
-1.15,,0.02247,0.57773995,-0.01377,0.6966366,,,1.27,2,3,20.09
0.15,,,0.5747,0.07745,0.08995039,,4.83,0.62,3,3,56.33
,,,,,,,,,,,56.33
,,,,,,,,,,,56.33
10.643,,0.068179995,0.66597,0.1097,,,,1.118,1,4,36.6
10.37,,0.068179995,0.66597,0.1097,1.372745,,4.39,1.118,1,4,36.6
0.14,,0.06007,0.04326,0.02688,0.019937662,,5.82,0.361,2,5,59.95
,,,,,,,,,,,59.95
,,,,,,,,,,,59.95
,,,,,,,,,,,13.97
5.79,5.29,0.01623,0.78766996,0.33426,4.518993,,1.74,0.658,1,1,13.97
,,,,,,,,,,,13.97
,,,,,,,,,,,13.97
,,,,,,,,,,,13.97
,,,,,,,,,,,13.97
1.72,,0.47123,0.27457002,0.0625,1.0330138,,2.55,0.923,10,10,13.65
,,,,,,,,,,,13.65
,,,,,,,,,,,13.65
0.09,,0.75549006,0.05342,0.45519,0.23234192,,8.28,0.413,6,4,32.0
,,,,,,,,,,,32.0
,,,,,,,,,,,32.0
,,,,,,,,,,,32.0
0.05,,0.040689997,0.19931,0.051119998,0.09730041,,5.3,0.37,8,8,37.5
,,,,,,,,,,,37.5
,,,,,,,,,,,37.5
,,,,,,,,,,,37.5
,,,,,,,,,,,20.62
,,,,,,,,,,,26.75
,,,,,,,,,,,26.75
0.12,,,0.27243,0.49317002,0.27271077,,9.1,0.491,5,4,26.75
0.15,,0.53382,0.31001,0.42696,0.24103293,,7.88,0.386,3,4,32.38
,,,,,,,,,,,32.38
,,,,,,,,,,,32.38
,,,,,,,,,,,32.38
,,,,,,,,,,,32.38
7.23,4.54,0.00535,0.95967,0.22997999,2.2438412,,2.46,1.023,2,2,29.33
,,,,,,,,,,,29.33
,,,,,,,,,,,29.33
,,,,,,,,,,,29.33
,,,,,,,,,,,29.33
,,,,,,,,,,,37.8
,,,,,,,,,,,37.8
0.02,,0.6494,0.17322001,0.08606,0.05086715,,5.36,0.688,4,3,37.8
,,,,,,,,,,,37.8
,,,,,,,,,,,50.35
-16.85,,0.501,0.008590001,-0.09506,1.4174685,,,0.566,,,50.35
,,,,,,,,,,,25.44
,,,,,,,,,,,25.44
,,,,,,,,,,,25.44
,,,,,,,,,,,25.44
,,,,,,,,,,,25.44
,,,,,,,,,,,25.44
,,,,,,,,,,,29.11
,,,,,,,,,,,29.11
,,,,,,,,,,,29.11
,,,,,,,,,,,29.11
0.17,,0.5998,0.09786,0.48811,0.21106002,,7.1,0.445,2,2,29.11
,,,,,,,,,,,29.11
,,,,,,,,,,,33.81
,,,,,,,,,,,33.81
,,,,,,,,,,,33.81
,,,,,,,,,,,20.95
,,,,,,,,,,,20.95
,,,,,,,,,,,20.95
,,,,,,,,,,,20.95
,,,,,,,,,,,12.15
,,,,,,,,,,,12.15
2.63,,0.66124,0.08428001,0.31032,1.5167723,,6.11,1.584,8,10,12.15
40.82,,0.00588,0.93469,0.124469995,7.0031385,,,1.286,6,6,20.66
,,,,,,,,,,,20.66
,,,,,,,,,,,20.66
,,,,,,,,,,,20.66
,,,,,,,,,,,20.66
,,0.031400003,0.70972,0.13052,,,,1.498,1,1,29.24
2.5,5.26,0.00981,0.96362,0.018480001,0.44507274,,2.38,0.725,5,5,19.32
7.084,,0.00981,0.96362,0.018480001,0.59098387,,,0.725,5,5,19.32
,,,,,,,,,,,19.32
,,,,,,,,,,,19.32
,,,,,,,,,,,19.32
,,,,,,,,,,,19.32
,,,,,,,,,,,19.32
67.51,,0.031400003,0.70972,0.13052,26.034645,,1.11,1.498,1,1,29.24
10.06,12.43,0.67695,0.2016,0.14624,7.5729513,,0.79,0.241,7,7,32.07
10.12,,0.67695,0.2016,0.14624,7.5664926,,0.79,0.241,7,7,32.07
3.63,,0.21029,0.23528999,0.38248003,0.46452296,,,0.894,2,2,25.15
0.86,,0.48792,0.22153,0.17658001,9.906008,,0.43,0.594,6,4,18.46
8.59,10.0,0.00117,0.83747,0.19141,5.364669,,1.98,0.789,1,4,13.82
4.33,,0.00207,0.79792,0.015700001,0.34481603,,2.15,0.739,2,3,20.04
3.34,498.35,0.00207,0.79792,0.015700001,0.2700299,,2.92,0.739,2,3,20.04
1.77,,0.04873,0.47777998,0.029089998,0.0025418191,,,0.507,4,6,26.97
,,,,,,,,,,,13.49
,,,,,,,,,,,13.49
1.2,3.53,0.00426,1.02959,0.14949,12.809667,,,1.174,5,9,24.05
1.2,,0.00426,1.02959,0.14949,13.146611,,,1.174,5,9,24.05
,,,,,,,,,,,24.05
,,,,,,,,,,,24.05
,,,,,,,,,,,24.05
,,,,,,,,,,,24.05
,,,,,,,,,,,24.05
,,,,,,,,,,,24.05
-0.03,,0.3309,,,,,,1.848,,,17.36
,,,,,,,,,,,17.36
,,,,,,,,,,,17.36
,,,,,,,,,,,17.36
10.35,12.51,0.0078799995,0.89281,0.29872,2.796532,,2.27,1.445,7,1,22.5
,,,,,,,,,,,22.5
,,,,,,,,,,,22.5
,,,,,,,,,,,22.5
,,,,,,,,,,,22.5
,,,,,,,,,,,22.5
-2.23,,,0.13949001,,,,7.69,,,,26.99
0.72,,0.15451999,0.47827,0.0068300003,0.48461026,,,1.756,6,3,14.34
0.53,0.74,,0.34148997,0.67413,4.1497846,,7.04,0.415,,,31.49
11.23,14.27,0.03918,1.00891,0.0806,1.3388177,,2.18,1.574,6,7,17.43
6.334,,0.00312,0.89315003,0.06444,3.300356,,,0.445,10,10,23.82
-0.11,,0.01911,1.09791,-0.028199999,1.0506514,,7.19,0.436,3,2,18.11
36.7,,0.97502,0.00448,0.07317,1.7108521,,1.36,1.056,9,9,17.51
36.7,,0.97502,0.00448,0.07317,1.7066381,,1.36,1.056,9,9,17.51
0.43,,0.034849998,0.77129996,0.06375,0.80638784,,,0.894,4,7,12.89
7.71,,0.11528,0.48516,0.04512,0.004406689,,,0.36,3,4,22.8
5.61,,0.069860004,0.49433,0.05697,0.009719597,,0.96,0.877,8,9,22.29
5.12,,0.069860004,0.49433,0.05697,0.008573928,,,0.877,8,9,22.29
,,,,,,,,,,,53.53
,,,,,,,,,,,21.91
3.19,,0.45301998,0.30002,0.01642,0.41906157,,,0.388,3,5,14.79
3.44,,0.45301998,0.30002,0.01642,0.37282836,,,0.388,3,5,14.79
2.8,3.65,0.45301998,0.30002,0.01642,0.36972657,,3.07,0.388,3,5,14.79
2.8,,0.45301998,0.30002,0.01642,0.37060547,,2.03,0.388,3,5,14.79
1.76,,0.15057,0.18419,0.04716,0.24889494,,,1.53,3,2,28.29
-0.09,14.37,0.01911,1.09791,-0.028199999,0.8070499,,7.07,0.436,3,2,18.11
-0.09,,0.01911,1.09791,-0.028199999,0.8144611,,4.56,0.436,3,2,18.11
2.47,,0.02902,0.46886003,0.16627,3.8510823,,0.33,0.574,3,4,21.66
0.1,,0.117869996,0.35676998,0.06424,0.03582649,,,1.09,8,7,25.96
-2.96,,0.57588,0.17757,-0.52593,0.0031790135,,,0.575,2,4,22.89
3.18,,0.10062,0.38669997,0.084910005,0.005339941,,,0.471,5,6,7.22
2.91,,0.10062,0.38669997,0.084910005,0.0048294,,2.4,0.471,5,6,7.22
,,,,,,,,,,,7.22
,,,,,,,,,,,36.86
,,,,,,,,,,,36.86
,,,,,,,,,,,36.86
,,,,,,,,,,,36.86
3.61,1.81,0.67035,0.19869,0.11123,0.6719485,,3.79,0.338,1,2,36.86
0.61,,0.22344999,0.45388,-0.00821,0.0056997156,,2.9,0.922,3,3,21.33
0.66,,0.33466998,0.24603,0.04107,0.007869477,,2.48,0.895,4,5,17.49
,,,,,,,,,,,30.97
2.81,2.91,0.00543,0.86983,0.108219996,2.3982468,,1.56,1.095,4,4,30.97
2.26,,0.00135,0.74511003,0.13854,2.597627,,,0.608,3,6,26.4
-7.36,,0.551,0.22976999,-0.25873,0.27145034,,1.79,0.654,1,2,17.25
-0.26,-0.8,0.04459,1.09175,-0.04338,2.7367272,,4.34,1.08,9,8,18.16
7.51,9.87,0.00491,0.86767995,0.12524,2.904002,,1.58,1.27,5,7,25.88
6.9,8.16,0.00491,0.86767995,0.12524,2.7012002,,1.57,1.27,5,7,25.88
4.68,7.14,,0.96486,0.113000005,2.150576,,1.83,0.694,,,12.54
