trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
1.45,2.04,0.00592,0.83509004,0.06805,0.77672267,,3.41,1.201,2,1,10.69
3.41,3.62,0.0252,0.77185994,0.064330004,0.5494455,,3.2,1.056,1,1,11.26
9.06,10.21,0.0031,0.8089,0.16675,3.6939363,,1.96,0.339,10,9,26.05
4.48,9.49,0.09549,0.81754994,0.13424,4.5346317,,1.45,1.276,5,4,33.11
,,,,,,,,,,,22.93
-0.02,,0.24315001,0.40862,,,,,,,,37.8
,,,,,,,,,,,24.37
4.33,8.26,0.02022,0.98089,0.25885,11.905568,,0.8,1.257,6,7,17.56
17.06,19.26,0.022839999,0.9224,0.05946,1.0047686,,2.11,0.603,4,2,45.74
,,,,,,,,,,,21.26
,,,,,,,,,,,28.13
1.42,2.47,0.013839999,1.06502,0.02809,0.17148869,,1.7,1.213,5,3,30.55
,,,,,,,,,,,20.97
8.48,10.9,0.00095,0.79126,0.15433,3.5407314,,1.99,1.023,6,6,28.62
1.45,1.68,0.00219,0.89212996,0.06548,1.556064,,2.23,0.267,8,7,30.0
4.19,4.02,0.03375,1.08016,0.1527,1.4443703,,6.06,1.502,1,4,22.31
-1.2,,0.00049,0.12774,-0.67197,9.275848,,8.12,0.937,,,29.21
-0.97,,0.00037999998,0.102469996,-0.60877,9.519595,,8.21,0.884,,,29.23
1.09,,4.0000003e-05,0.28334,5.47374,79.21804,,9.07,0.729,,,26.9
0.79,,8.0000005e-05,0.34004003,1.5645399,102.19481,,9.11,0.711,,,27.45
,,,,,,,,,,,24.26
,,,,,,,,,,,24.26
1.04,1.01,0.013150001,1.04127,0.13918,2.7796347,,4.49,1.325,7,6,13.35
3.16,5.66,0.0101499995,1.01256,0.03371,0.7746394,,,0.871,6,8,13.95
,,,,,,,,,,,28.49
,,,,,,,,,,,25.54
-0.26,0.35,0.53396,0.12981,-0.31573,3.8406172,,4.9,0.55,10,10,17.26
1.81,2.03,0.47147998,0.22296,0.13832,3.1030724,,3.39,0.305,2,2,15.44
2.97,-0.74,0.06004,0.90904,0.06092,1.015974,,,1.358,8,9,26.94
,,,,,,,,,,,25.99
8.16,10.66,0.0011100001,0.60648996,0.12127,2.8652356,,4.86,0.708,6,7,14.14
,,,,,,,,,,,28.39
4.19,6.62,0.0113,0.92221,0.29644,9.713254,,1.24,1.03,3,6,19.78
0.5,0.47,0.43995997,0.24285,0.08585,0.8775167,,5.77,0.581,,,30.45
7.85,9.06,0.00221,1.01547,0.18208,5.5459843,,1.11,0.966,6,3,29.34
,,,,,,,,,,,37.91
-10.05,4.32,0.001,1.00361,-0.22363001,1.8471916,,2.8,1.229,3,1,22.69
3.23,-1.57,3.0000001e-05,0.11031,17.959389,109.651436,,11.68,0.746,,,25.49
0.77,2.11,0.43793,0.51183,0.03619,0.96473235,,4.51,1.971,4,6,15.49
,,,,,,,,,,,17.49
,,,,,,,,,,,19.78
0.84,,0.0002,0.28685,2.60295,16.63445,,9.66,1.318,,,48.72
,,,,,,,,,,,28.25
,,,,,,,,,,,32.28
,,,,,,,,,,,21.73
-0.86,,,0.55684,,,,10.97,,,,26.98
3.36,,,0.43185002,17.12403,107.629745,,,0.834082,,,28.22
,,,,,,,,,,,28.1
,,,,,,,,,,,25.25
,,,,,,,,,,,28.03
,,,,,,,,,,,23.7
,,,,,,,,,,,26.33
,,,,,,,,,,,20.08
-2.56,-3.3,0.0086,1.00939,-0.46504003,7.801597,,,0.397,3,3,29.27
0.86,2.8,0.0049900003,0.84143996,0.01523,0.70988286,,4.75,0.963,5,9,24.47
2.85,3.07,0.00361,1.02984,0.10087,1.1212928,,3.95,1.123,10,10,10.32
4.63,4.63,0.33535,0.61164004,0.17001,3.1430547,,,1.185,2,2,11.49
7.29,12.55,0.0093,0.92462,0.090629995,3.0873384,,,1.508,9,8,19.14
1.9,3.55,0.0019,0.97196996,0.113249995,5.372028,,,1.442,10,8,20.68
0.63,2.14,0.00875,0.81474996,0.03362,4.2628446,,6.21,0.956,3,2,14.5
9.75,10.96,0.00338,0.82781,0.18358,4.940672,,2.28,1.144,5,8,25.29
,,,,,,,,,,,20.98
,,,,,,,,,,,22.04
-0.73,1.9,0.01737,0.88208,-0.01695,1.2109427,,5.41,1.429,3,3,22.79
,,,,,,,,,,,20.78
,,,,,,,,,,,29.14
,,,,,,,,,,,20.69
,,,,,,,,,,,22.72
,,,,,,,,,,,29.11
,,,,,,,,,,,22.27
,,,,,,,,,,,24.01
,,,,,,,,,,,22.29
,,,,,,,,,,,17.03
,,,,,,,,,,,24.17
,,,,,,,,,,,32.89
,,,,,,,,,,,25.29
,,,,,,,,,,,18.46
,,,,,,,,,,,15.8
,,,,,,,,,,,21.9
,,,,,,,,,,,25.77
,,,,,,,,,,,23.97
,,,,,,,,,,,22.59
,,,,,,,,,,,20.12
,,,,,,,,,,,33.96
,,,,,,,,,,,23.98
,,,,,,,,,,,20.97
,,,,,,,,,,,27.04
6.1,21.07,0.028180001,0.95989,0.10819,2.0325375,,,0.594,3,3,26.26
5.11,5.71,0.00676,0.97613,0.17265,5.769698,,1.11,0.664,7,7,18.66
6.97,9.56,0.19782,0.76291,0.05677,1.5364671,,0.84,1.114,9,10,14.82
2.69,4.12,0.00302,0.9308,0.07849,1.6202039,,2.33,1.247,6,5,14.43
1.89,,,0.26905,,,,8.4,,,,22.09
2.14,3.61,0.05325,0.17017001,0.02228,0.03990986,,,0.519,9,9,24.71
,,,,,,,,,,,21.72
1.12,4.22,0.2212,0.63458,0.05908,1.9851259,,2.94,1.348,2,3,25.89
,,,,,,,,,,,21.33
,,,,,,,,,,,21.28
1.37,,,0.42415002,,,,9.22,,,,40.5
,,,,,,,,,,,21.03
,,,,,,,,,,,23.93
1.05,,0.0014,0.276,0.6815,8.523952,,8.06,0.902,,,48.44
,,,,,,,,,,,23.77
,,,,,,,,,,,24.69
,,,,,,,,,,,17.61
,,,,,,,,,,,21.61
4.67,15.64,0.00802,0.98085,0.01086,0.42383623,,0.53,1.423,2,2,6.75
,,,,,,,,,,,21.89
,,,,,,,,,,,21.61
,,,,,,,,,,,22.84
5.2,11.04,0.00092,0.71282995,0.41279,4.42034,,2.66,0.531,2,4,23.98
0.95,2.46,0.01276,0.94595003,0.055749997,2.1399136,,2.97,0.979,5,5,14.82
,,,,,,,,,,,18.65
-0.02,,3.0000001e-05,0.27989,,,,8.75,,,,44.44
,,,,,,,,,,,28.88
,,,,,,,,,,,22.25
,,,,,,,,,,,22.96
,,,,,,,,,,,22.26
0.74,1.93,0.39556,0.54918,0.00912,0.20624678,,3.88,2.604,1,1,20.3
,,,,,,,,,,,22.43
1.7,6.39,0.33909,0.18675,0.01903,0.31040093,,3.69,0.448,10,10,38.24
-0.82,10.26,0.03453,0.85756,-0.0124,1.6163517,,3.0,0.212,8,3,30.45
,,,,,,,,,,,25.6
,,,,,,,,,,,25.39
,,,,,,,,,,,27.42
3.58,,0.06771,0.78344,10.47313,71.14837,,14.79,1.188,,,27.74
,,,,,,,,,,,27.14
2.31,3.21,0.28271,0.54883,0.10717,1.6060826,,4.84,0.666,4,7,33.7
1.06,1.27,0.12768,0.64419,0.15593,2.5951028,,6.15,0.882,8,9,18.96
5.21,7.33,0.0016699999,0.78839,0.086339995,2.0621161,,3.33,0.412,4,6,28.48
1.02,0.76,0.02167,0.90748,0.36687002,7.2067213,,4.96,1.439,4,8,10.9
19.75,27.75,0.0011999999,0.91887003,0.27983,9.523151,,1.43,1.34,4,3,17.19
3.13,3.45,0.00327,1.0918801,0.01763,0.45198658,,,1.605,9,8,12.1
-1.01,2.63,0.01888,1.26568,0.01814,0.16154474,,5.82,2.005,1,1,12.34
2.96,4.56,0.07664,0.76644,0.01442,0.27103353,,2.05,0.461,7,5,21.27
,,,,,,,,,,,19.68
0.71,2.88,0.00932,0.31551,1.61863,23.317831,,11.63,1.589,,,33.02
,,,,,,,,,,,25.09
1.26,,0.0038100001,0.59449,,-5.2840424,,,1.288,1,1,17.96
25.98,35.79,0.0026,0.89491,0.24154,8.525682,,1.31,1.517,1,2,13.61
1.6,3.08,0.51387,0.46148998,0.11772,3.6896331,,4.75,1.177,10,10,18.69
-9.52,-1.51,0.05016,0.83339995,-0.54085,0.86662126,,,1.18,10,10,23.36
4.68,6.61,0.07918,0.9475,0.70133,8.433168,,,0.962,10,10,22.2
4.68,8.47,0.097229995,0.81601995,0.70133,8.43316,,,0.962,10,10,46.61
1.45,8.67,0.01056,0.78097,0.01289,1.1184819,,1.46,0.707,4,1,17.65
,,,,,,,,,,,56.3
-1.0,1.33,0.01831,0.67467004,-0.02895,0.53205585,,4.63,1.196,2,4,14.53
