trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,51.18
,,,,,,,,,,,24.67
2019.4,,0.19309,0.25213,0.12833999,0.048627976,,,0.307,10,8,23.32
,,,,,,,,,,,23.22
572.29,217.39,0.03312,0.45002997,0.11184,0.39352828,,3.49,0.109,9,9,35.77
,,0.0026699998,0.86052,0.18167,,,,0.629,7,9,23.6
,,,,,,,,,,,20.97
,,,,,,,,,,,22.65
0.45,,0.07263,0.09214,0.84363997,12.160035,,4.58,0.83,,,49.09
,,,,,,,,,,,54.47
,,,,,,,,,,,53.84
,,,,,,,,,,,20.33
,,,,,,,,,,,20.53
,,,,,,,,,,,20.44
,,,,,,,,,,,20.44
,,,,,,,,,,,23.05
,,,,,,,,,,,24.79
,,,,,,,,,,,24.79
,,,,,,,,,,,23.05
,,,,,,,,,,,24.71
3.695,,0.00161,0.8085,0.0109399995,0.026293825,,,0.42,5,3,21.63
,,,,,,,,,,,29.83
,,,,,,,,,,,16.18
,,,,,,,,,,,20.82
,,,,,,,,,,,32.78
,,,,,,,,,,,22.06
,,,,,,,,,,,25.64
1.76,1.6,0.29393,0.65693,0.09604,0.6391455,,1.93,1.689,4,7,17.03
,,,,,,,,,,,32.36
,,,,,,,,,,,55.81
8.53,9.07,0.01623,0.78793,0.33426,6.7792296,,1.75,0.658,1,1,13.97
,,,,,,,,,,,40.3
,,,,,,,,,,,20.24
,,,,,,,,,,,29.54
,,,,,,,,,,,29.54
,,,,,,,,,,,29.54
,,,,,,,,,,,25.72
,,,,,,,,,,,25.72
,,,,,,,,,,,25.72
,,,,,,,,,,,25.72
1.267,,0.00373,0.99611,0.05158,0.017525202,,,1.505,1,2,27.09
,,,,,,,,,,,24.44
,,,,,,,,,,,24.44
5.23,3.26,0.111540005,0.48553002,0.05567,0.007417206,,3.1,1.424,2,3,21.91
,,,,,,,,,,,24.44
,,,,,,,,,,,21.92
,,,,,,,,,,,22.39
,,,,,,,,,,,15.64
,,,,,,,,,,,23.17
,,,,,,,,,,,20.73
2.409,,0.00099,0.83942,0.11821,0.038680926,,,0.412,3,5,26.17
,,,,,,,,,,,21.59
-4.33,0.36,0.04264,0.8549,-0.25062,0.051983092,,,1.97,6,6,14.53
,,,,,,,,,,,26.27
2.15,,0.00478,0.86716,0.08093,0.0113471085,,,0.406,8,8,30.83
,,,,,,,,,,,24.99
,,,,,,,,,,,24.99
9.647,,0.0015199999,0.83450997,0.18937,0.023300193,,,1.244,5,7,33.91
,,,,,,,,,,,21.59
-3.67,,0.00041,0.21628,,,,13.64,,,,47.35
,,,,,,,,,,,22.07
,,,,,,,,,,,24.1
,,,,,,,,,,,21.09
0.169,,0.59981,0.39553002,0.05388,0.014631762,,,1.833,8,7,26.63
4.24,4.58,0.24714,0.33929002,0.04478,1.1489371,,0.69,0.874,7,9,22.96
,,,,,,,,,,,25.62
,,,,,,,,,,,22.29
,,,,,,,,,,,23.56
1.22,184.62,0.00932,0.69589996,0.10090999,4.080688,,1.61,0.709,6,2,20.87
,,,,,,,,,,,56.12
,,,,,,,,,,,16.53
,,,,,,,,,,,26.12
,,,,,,,,,,,23.28
,,,,,,,,,,,22.27
,,,,,,,,,,,22.27
,,,,,,,,,,,24.03
1.025,,0.77658,0.03093,0.05237,0.00804954,,,0.702,7,5,62.33
,,,,,,,,,,,23.88
,,,,,,,,,,,23.88
,,,,,,,,,,,23.88
,,,,,,,,,,,21.71
0.41,0.46,0.61188,0.11573,0.051119998,0.7545874,,2.8,0.37,8,8,44.29
2.34,3.05,0.11106,0.45362,0.1437,2.557555,,1.47,0.143,6,4,29.96
0.19,,,0.14754,0.10457,7.933762,,7.35,0.837,,,27.2
,,,,,,,,,,,48.62
,,,,,,,,,,,22.73
,,,,,,,,,,,30.7
,,,,,,,,,,,37.55
,,,,,,,,,,,26.16
0.54,0.62,0.29673,0.31121,0.18675,2.4563272,,2.03,,8,5,33.97
,,,,,,,,,,,22.05
,,,,,,,,,,,22.05
0.53,0.25,0.58429,0.055760004,0.04512,1.9760388,,,1.011,,,38.73
,,,,,,,,,,,23.15
,,,,,,,,,,,49.62
,,,,,,,,,,,22.15
0.25,55.5,0.0147,0.08049,0.90476996,14.247968,,4.97,0.668,,,22.69
,,,,,,,,,,,28.87
,,,,,,,,,,,26.48
,,,,,,,,,,,26.83
,,,,,,,,,,,26.91
,,,,,,,,,,,26.91
,,,,,,,,,,,22.15
,,,,,,,,,,,22.16
,,,,,,,,,,,21.3
,,,,,,,,,,,20.64
96.78,97.29,0.014450001,0.53346,0.12375,6.26543,,1.07,0.298,1,1,23.67
1.25,1.74,0.24223,0.56132,0.04763,0.8464023,,0.96,0.601,10,7,30.19
1138.86,1309.75,0.11528,0.48549998,0.04512,0.6665904,,4.26,0.36,3,4,22.8
,,,,,,,,,,,59.45
,,,,,,,,,,,59.45
,,,,,,,,,,,59.45
,,,,,,,,,,,20.47
,,,,,,,,,,,20.47
,,,,,,,,,,,22.22
